feature,importance
domain_length,0.20411854685500497
path_length,0.12577152888788082
domain_entropy,0.10439070155967123
num_hyphens,0.08074427409206969
url_length,0.07000275875815205
url_entropy,0.06344615697963225
subdomain_count,0.04646995416418877
domain_name_length,0.041585684050514826
num_dots,0.03821151079361735
num_slashes,0.030774268592323732
digit_ratio,0.02980430336231832
letter_ratio,0.029463652171778935
tld_length,0.025656610548273336
has_suspicious_tld,0.023540538542136395
has_subdomain,0.022440649652404374
path_depth,0.01799100524808127
trailing_slash,0.011998045917261353
special_char_ratio,0.01151714706958506
has_numbers_in_domain,0.009887953477425802
has_file_extension,0.00518124340927309
has_suspicious_keywords,0.003307113449310689
has_shortener,0.0023328559158406325
num_question_marks,0.0004065869063478461
uses_http,0.00030987352796039156
suspicious_brand_usage,0.0001816220449031266
num_params,0.0001789483742148096
num_underscores,0.00014143802065130393
has_ip,9.721053592090717e-05
query_length,4.239477456199264e-05
num_ampersands,5.422318694726802e-06
num_percentages,0.0
has_port,0.0
num_equals,0.0
suspicious_file_ext,0.0
has_suspicious_params,0.0
has_mixed_case,0.0
double_slash,0.0
has_at_symbol,0.0
uses_https,0.0
